capability_id,input_name,input_type,required,semantic_type,entity_reference,resolution_mode,on_missing,on_ambiguous,on_unresolved,default_value,allowed_values,catalog_ref,resolver_ref,summary,clarification_hint
gtm.prioritize_accounts,ranking_basis,string,false,,false,closed_values,use_default,clarify,clarify,deal_likelihood,deal_likelihood,,,Priority ranking basis,
gtm.prioritize_accounts,limit,integer,false,quantity_limit,false,explicit_only,omit,clarify,clarify,,,,,Maximum accounts,
gtm.prioritize_accounts,owner_scope,string,false,scope_reference,false,actor_policy_or_explicit,use_actor_scope,clarify,clarify,,,,,Actor-safe ownership scope,
gtm.route_leads,cohort_ref,string,true,cohort_reference,false,closed_values,clarify,clarify,clarify,,inbound_last_week;webinar_q2,gtm.cohort_catalog,,"Lead cohort; map inbound leads or last week inbound leads to inbound_last_week",Ask which lead cohort to route.
gtm.route_leads,target_queue,string,false,,false,closed_values,use_default,clarify,clarify,sales,sales;sdr,,,Destination queue or team,
gtm.route_leads,owner_scope,string,false,scope_reference,false,actor_policy_or_explicit,use_actor_scope,clarify,clarify,,,,,Actor-safe ownership scope,
gtm.draft_outreach_message,target_ref,string,true,entity_reference,true,backend_resolved,clarify,clarify,clarify,,,gtm.account_or_lead_catalog,gtm.account_or_lead_catalog,Lead or account reference,Ask which lead or account the draft should target.
gtm.draft_outreach_message,objective,string,true,,false,closed_values,use_default,clarify,clarify,first_touch,first_touch;follow_up;revive_stalled,,,Message objective,
gtm.draft_outreach_message,channel,string,false,,false,closed_values,use_default,clarify,clarify,email,email;linkedin;call_follow_up,,,Requested outreach channel,
gtm.draft_outreach_message,persona,string,false,audience_reference,true,explicit_only,omit,clarify,clarify,,,,,Target persona or audience,
gtm.suggest_followup_content,target_ref,string,true,entity_reference,true,backend_resolved,clarify,clarify,clarify,,,gtm.account_or_lead_catalog,gtm.account_or_lead_catalog,Lead or account reference,Ask which lead or account the follow-up should target.
gtm.suggest_followup_content,variant_count,integer,false,quantity_limit,false,explicit_only,omit,clarify,clarify,,,,,Maximum variants,
gtm.suggest_followup_content,persona,string,false,audience_reference,true,explicit_only,omit,clarify,clarify,,,,,Target persona or audience,
gtm.objection_response_variants,objection_theme,string,true,,false,closed_values,clarify,clarify,clarify,,pricing;competitor;implementation_risk,,,Named objection theme,Ask which objection theme to address.
gtm.objection_response_variants,target_ref,string,false,entity_reference,true,backend_resolved,omit,clarify,clarify,,,gtm.account_or_lead_catalog,gtm.account_or_lead_catalog,Optional GTM target reference,
gtm.objection_response_variants,persona,string,false,audience_reference,true,explicit_only,omit,clarify,clarify,,,,,Target persona or audience,
gtm.bottleneck_account_outreach_draft,quarter,string,true,time_scope,false,clarify,clarify,clarify,clarify,,,,,Quarter label like 2017-Q2,Ask which quarter to use for bottleneck-based outreach drafting.
gtm.bottleneck_account_outreach_draft,target_ref,string,false,entity_reference,true,backend_resolved,omit,clarify,clarify,,,gtm.account_catalog,gtm.account_catalog,Optional explicit account selected from the bottleneck review; omit when the request asks the provider to select the top candidate before the approval boundary.,Ask for a specific account only when the request is a direct draft request rather than a bottleneck-derived provider selection.
gtm.bottleneck_account_outreach_draft,owner_scope,string,false,scope_reference,false,actor_policy_or_explicit,use_actor_scope,clarify,clarify,,,,,"Regional office, team, owner, or company-wide scope",
gtm.bottleneck_account_outreach_draft,objective,string,false,,false,closed_values,use_default,clarify,clarify,first_touch,first_touch;follow_up;revive_stalled,,,Message objective,
gtm.bottleneck_account_outreach_draft,channel,string,false,,false,closed_values,use_default,clarify,clarify,email,email;linkedin;call_follow_up,,,Requested outreach channel,
gtm.bottleneck_account_outreach_draft,persona,string,false,audience_reference,true,explicit_only,omit,clarify,clarify,,,,,Target persona or audience,
gtm.prioritized_outreach_draft,cohort_ref,string,true,cohort_reference,false,closed_values,clarify,clarify,clarify,,expansion_candidates_q2;at_risk_q2,gtm.cohort_catalog,,Account cohort to prioritize,Ask which account cohort to use.
gtm.prioritized_outreach_draft,ranking_basis,string,false,,false,closed_values,use_default,clarify,clarify,deal_likelihood,deal_likelihood,,,Priority ranking basis,
gtm.prioritized_outreach_draft,limit,integer,false,quantity_limit,false,explicit_only,omit,clarify,clarify,,,,,Maximum accounts before drafting,
gtm.prioritized_outreach_draft,owner_scope,string,false,scope_reference,false,actor_policy_or_explicit,use_actor_scope,clarify,clarify,,,,,"Regional office, team, owner, or company-wide scope",
gtm.prioritized_outreach_draft,objective,string,false,,false,closed_values,use_default,clarify,clarify,first_touch,first_touch;follow_up;revive_stalled,,,Message objective,
gtm.prioritized_outreach_draft,channel,string,false,,false,closed_values,use_default,clarify,clarify,email,email;linkedin;call_follow_up,,,Requested outreach channel,
gtm.prioritized_outreach_draft,persona,string,false,audience_reference,true,explicit_only,omit,clarify,clarify,,,,,Target persona or audience,
gtm.at_risk_followup_preparation,quarter,string,true,time_scope,false,clarify,clarify,clarify,clarify,,,,,Quarter label like 2017-Q2,
gtm.at_risk_followup_preparation,ranking_basis,string,true,,false,closed_values,use_default,clarify,clarify,risk_score,risk_score,,,Risk ranking basis,
gtm.at_risk_followup_preparation,owner_scope,string,false,scope_reference,false,actor_policy_or_explicit,use_actor_scope,clarify,clarify,,,,,"Regional office, team, owner, or company-wide scope",
gtm.at_risk_followup_preparation,limit,integer,false,quantity_limit,false,explicit_only,omit,clarify,clarify,,,,,Maximum accounts,
gtm.at_risk_reassignment_preparation,quarter,string,true,time_scope,false,clarify,clarify,clarify,clarify,,,,,Quarter label like 2017-Q2,
gtm.at_risk_reassignment_preparation,ranking_basis,string,true,,false,closed_values,use_default,clarify,clarify,risk_score,risk_score,,,Risk ranking basis,
gtm.at_risk_reassignment_preparation,owner_scope,string,false,scope_reference,false,actor_policy_or_explicit,use_actor_scope,clarify,clarify,,,,,"Regional office, team, owner, or company-wide scope",
gtm.at_risk_reassignment_preparation,limit,integer,false,quantity_limit,false,explicit_only,omit,clarify,clarify,,,,,Maximum accounts,
gtm.prioritized_routing_preparation,cohort_ref,string,true,cohort_reference,false,closed_values,clarify,clarify,clarify,,expansion_candidates_q2;at_risk_q2,gtm.cohort_catalog,,"Account cohort; map expansion candidates to expansion_candidates_q2 and at risk q2 to at_risk_q2",Ask which cohort to use.
gtm.prioritized_routing_preparation,ranking_basis,string,false,,false,closed_values,use_default,clarify,clarify,deal_likelihood,deal_likelihood,,,Priority ranking basis,
gtm.prioritized_routing_preparation,limit,integer,false,quantity_limit,false,explicit_only,omit,clarify,clarify,,,,,Maximum accounts,
gtm.prioritized_routing_preparation,owner_scope,string,false,scope_reference,false,actor_policy_or_explicit,use_actor_scope,clarify,clarify,,,,,Actor-safe ownership scope,
